Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2016-10-07,Lunch,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-07,Dinner,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-07,Snacks,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-08,Breakfast,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
2016-10-08,Lunch,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-08,Dinner,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-08,Snacks,1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-09,Lunch,1620.0,81.0,12.0,0.0,0.0,0.0,150.0,3990.0,0.0,150.0,12.0,0.0,72.0,0.0,0.0,0.0,0.0
2016-10-09,Dinner,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-09,Snacks,240.0,2.0,1.0,0.0,0.0,0.0,60.0,260.0,0.0,6.0,0.0,2.0,48.0,0.0,0.0,16.0,4.0
2016-10-10,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-10,Lunch,915.0,27.3,6.0,0.0,0.0,0.0,240.0,1812.5,0.0,101.0,10.5,27.5,66.5,0.0,0.0,0.0,0.0
2016-10-10,Dinner,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-10,Snacks,240.0,2.0,1.0,0.0,0.0,0.0,60.0,260.0,0.0,6.0,0.0,2.0,48.0,0.0,0.0,16.0,4.0
2016-10-12,Breakfast,519.4,15.3,8.9,0.0,0.2,0.0,49.0,536.0,464.6,48.4,2.0,5.4,13.0,8.4,15.0,19.6,15.6
2016-10-12,Lunch,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-12,Dinner,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-12,Snacks,480.0,4.0,2.0,0.0,0.0,0.0,120.0,520.0,0.0,12.0,0.0,4.0,96.0,0.0,0.0,32.0,8.0
2016-10-13,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-13,Lunch,915.0,27.3,6.0,0.0,0.0,0.0,240.0,1812.5,0.0,101.0,10.5,27.5,66.5,0.0,0.0,0.0,0.0
2016-10-13,Dinner,1112.0,15.2,2.0,0.0,0.0,0.0,134.0,662.0,900.0,37.8,14.8,0.0,67.2,58.0,236.0,8.0,8.0
2016-10-13,Snacks,620.0,19.5,5.5,4.5,7.0,0.0,65.0,950.0,0.0,37.0,5.0,12.0,73.0,4.0,0.0,26.0,14.0
2016-10-15,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-15,Lunch,915.0,27.3,6.0,0.0,0.0,0.0,240.0,1812.5,0.0,101.0,10.5,27.5,66.5,0.0,0.0,0.0,0.0
2016-10-15,Dinner,625.0,2.0,0.0,0.0,0.0,0.0,100.0,2225.0,0.0,70.0,28.0,7.0,76.5,0.0,35.0,14.0,43.0
2016-10-15,Snacks,1690.0,2.0,1.0,0.0,0.0,0.0,60.0,288.0,192.0,70.2,0.0,2.0,51.0,0.0,0.0,18.0,4.0
2016-10-16,Breakfast,194.7,15.1,2.5,4.5,7.1,0.0,0.0,139.5,232.3,7.0,2.0,3.0,8.6,0.0,0.0,0.9,4.3
2016-10-16,Lunch,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-16,Dinner,1204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-16,Snacks,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-17,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-17,Lunch,915.0,27.3,6.0,0.0,0.0,0.0,240.0,1812.5,0.0,101.0,10.5,27.5,66.5,0.0,0.0,0.0,0.0
2016-10-17,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-17,Snacks,1000.0,37.0,10.0,9.0,14.0,0.0,70.0,1640.0,0.0,68.0,10.0,22.0,98.0,8.0,0.0,36.0,24.0
2016-10-18,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-18,Lunch,990.0,38.0,17.0,0.0,0.0,0.0,100.0,1870.0,0.0,136.0,5.0,8.0,43.0,0.0,1.0,64.0,2.0
2016-10-18,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-18,Snacks,1624.0,39.0,11.0,9.0,14.0,0.0,130.0,1900.0,0.0,108.6,10.0,24.0,148.6,8.0,0.0,52.0,28.0
2016-10-19,Breakfast,474.7,11.6,6.5,0.0,0.1,0.0,35.0,484.5,232.3,48.0,2.0,5.0,11.6,6.0,15.0,17.9,15.3
