Date,Weight
2018-01-10,153.0
2018-01-11,154.8
2018-01-12,153.0
2018-01-14,150.8
2018-01-15,152.2
2018-01-16,153.2
2018-01-17,153.0
2018-01-18,153.6
2018-01-19,152.6
2018-01-20,152.6
2018-01-21,153.0
2018-01-22,152.6
2018-01-23,155.2
2018-01-24,154.4
2018-01-25,154.4
2018-01-26,153.8
2018-01-28,153.4
2018-01-29,153.2
2018-01-30,153.8
2018-01-31,154.2
